brand,color,desc,retailPrice,title
Flounce London,black,Dress by Flounce London    Your new go-toRound neck Short sleevesFrill cuffsSoft pleats to waist Smock style Regular fitTrue to size,19,Flounce London basic smock dress with ruffle sleeve in black
Missguided,black,"Dress by Missguided    This dress deserves a night outAll-over polka-dot printV-neckVolume sleevesElasticated cuffsShirred, stretch panel to reverseZip-back fasteningRegular fitTrue to sizeExclusive to ASOS",36,Missguided exclusive shirred skater dress with open back in black polka dot
ASOS DESIGN,navy/brown check,Midi dress by ASOS DESIGN     Serious add-to-bag potentialChecked designSpread collarDrop shoulders    Button cuffs    Button placketButton chest pocketsRelaxed fitLoose cut,40,ASOS DESIGN button through midi shirt dress in brushed check
New Look Plus,bk1 - black 1,Plus-size dress by New Look    Our kind of flowersAll-over floral printTie neckVolume sleevesElasticated cuffsTiered skirtFrill trimSmock styleRegular fitTrue to size,31.2,New Look Curve long sleeve tie neck frill detail smock in black pattern
ASOS DESIGN,khaki,Mini dress by ASOS DESIGN    Your new favorite dress    V-neckBlouson sleeves    Tie cuffs Pin-tuck detailing Pleated skirt     Tie backRegular fitTrue to size,30,ASOS DESIGN v-front v-back pleated mini smock dress with pin tucks in khaki
Missguided,green,Mini dress by Missguided    Cute dressFloral printV-neck with tie detailPuff sleevesElastic cuffsBody-conscious fitFigure-hugging cut,28,Missguided mini dress with puff sleeve in khaki floral
ASOS DESIGN,mid blue,Dress by ASOS DESIGNPart of our responsible editPoint collarButton placketPuff shouldersButton cuffsCurved hemRegular fitTrue to size,27,ASOS DESIGN denim puff sleeve shirt dress in mid wash
ASOS Curve,black dots,Plus-size dress by ASOS DESIGN          Your new go-toAll-over spot printCrew neckShort sleevesRegular fitTrue to size,17.4,ASOS DESIGN Curve mini tea dress in black based spot
New Look,white,Dress by New LookCute dress V-neckSpread collar Button placketHalf sleeves Fitted cuffsRegular fit True to size ,23.4,New Look poplin collar button up mini dress in white
Flounce London Plus,black,Plus-size dress by Flounce London    Your new favorite dressPlain design     Roll-neck    Long sleevesBody-Conscious fit Figure-hugging cut ,12.95,Flounce London Plus basic ribbed rollneck long sleeve dress in black
Influence,black,Dress by Influence    Your new favorite dressAll-over burnout patternV-neckButton placketShort sleevesRegular fitTrue to size,32,Influence burnout beach dress in black
Femme Luxe,black,Dress by Femme Luxe    Dress casual? No thanksSlash neckOne-shoulder styleThigh-high splitSlim fitClose-fitting cut ,12.2,Femme Luxe one shoulder slash neck maxi dress with high thigh split in black
Influence,green/ white,Dress by Influence    Trés cuteAll-over gingham printHigh neckShort sleevesTie cuffsSide splitTie backRegular fitTrue to size,38,Influence midi dress with tie sleeves in green gingham
