brand,color,desc,retailPrice,title
Femme Luxe,rust,Mini dress by Femme Luxe    Ring light at the readyHigh neck Long sleevesAdjustable ruched panel Tie detail Body-Conscious fitFigure-hugging cut,9.65,Femme Luxe long sleeve ruched tie front mini dress in rust
Collusion,black,Midi dress by COLLUSION     Serious add-to-bag potential     Spread collarZip-through frontLong sleeves     Regular fitTrue to size,22,COLLUSION long sleeve midi zip front dress in black
NaaNaa,brown,Dress by NaaNaa    You choose the occasionVelvet-feel flocking Round neckLong sleevesZip frontBody-Conscious fitFigure-hugging cut,22,NaaNaa Shape zip front body-conscious dress in brown animal
ASOS Maternity,mulberry,"Maternity dress by ASOS DESIGN    Your new go-toFrill collarVolume sleevesRibbed cuffsShirred, stretch bodiceRegular fit    Designed to fit you from bump to baby",20.25,ASOS DESIGN Maternity knitted babydoll dress with shirring detail in dark red
ASOS Maternity,berry,Maternity dress by ASOS DESIGN    Crack the dress code    Sweetheart neck    Long sleeves    Ruched bust     Regular fit    Designed to fit you from bump to baby,30,ASOS DESIGN Maternity long sleeve ruched bust midi dress in berry
AX Paris Plus,floral,Plus-size dress by AX Paris     Next stop: checkout All-over floral print Crew neck Short sleevesHigh-low hem Button-keyhole back Swing style Relaxed fit Loose cut ,42,AX Paris Plus swing dress in floral
Influence,multi,"Dress by Influence    Crack the dress codeFloral designHigh, shirred neck    Long sleevesElasticated cuffsShirred, stretch waistRegular fitTrue to size",20.9,Influence high neck mini dress in floral print
Pieces,blue polka,Dress by PIECES    Crack the dress codePolka-dot printV-neckSleeveless styleRegular fitTrue to size,16.35,Pieces jersey bodycon dress
Missguided Plus,black,Plus-size dress by Missguided          Your new go-toPlain designCrew neckLong sleevesSmock styleRegular fitTrue to size,10.15,Missguided Plus smock dress with long sleeves in black
Only,black,Dress by Only    Part of our responsible editPlain designHigh neckPuff shouldersLong sleevesSlim fitClose-fitting cut,12,Only puff sleeve jersey dress in black
Monki,beige,Midi dress by Monki      Act casual Plain design     Scoop neck    Long sleeves    Side split Slim fitClose-fitting cut ,28.8,Monki Emma organic cotton rib square neck midi dress in beige
ASOS Curve,lilac/white check,Plus-size dress by ASOS DESIGN          Coming soon to your Saved ItemsCheck designSpread collarButton placketDrop shouldersButton cuffsRelaxed fitSlouchy cut,40,ASOS DESIGN Curve mini fleece shirt dress in lilac and white check
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Shot by one of our stylists at home Ruched designHigh neck Volume sleevesSheer yoke with jacquard spot pattern Button-keyhole and zip-back fasteningSlim fitClose-fitting cut#AtHomeWithASOS,21,ASOS DESIGN PU sweetheart ruched mini dress with textured mesh high neck in black
Love Moschino,fuxia,Dress by Love Moschino    Next stop: checkoutCrew neckDrop shouldersGraphic print with sequined embellishment Relaxed fitSlouchy cut,159,Love Moschino bold heart logo t-shirt dress in pink
Miss Selfridge,black,Mini dress by Miss Selfridge    The scroll is over Square neckBlouson sleevesButton cuffsButton-through front Regular fitTrue to size ,21.75,Miss Selfridge long sleeve mini dress in black
AX Paris Plus,leopard,"Plus-size dress by AX Paris    Looks cute, feels comfyAll-over leopard printV-neckShort sleevesButton-keyhole backDipped hemSmock styleRelaxed fitLoose cut ",42,AX Paris Plus swing dress in leopard
Only,spot,Dress by Only    Coming soon to your Saved ItemsSpot printNotch neckTie waist Regular fitTrue to size,12.2,Only maja v neck tie waist dress in polka dot 
ASOS DESIGN,blues,"Mini dress by ASOS DESIGN    Comfy, meet cool Crew neck Drop shouldersPanda print to chestFitted trimsOversized fitRelaxed and roomy ",12.8,ASOS DESIGN oversized mini sweat dress with panda adios logo in blue
Miss Selfridge,black,Dress by Miss Selfridge    Crack the dress codeFloral designCrew neckHalf sleevesRuffle hemRegular fitTrue to size,30.8,Miss Selfridge midi dress with frill sleeves in red floral print
Little Mistress,fern,"Dress by Little MistressIf you have to dress up, dress up in thisV-neckSheer wrap-style overlayTie detailZip-back closureRegular fit True to size",25.75,Little Mistress embroidered midi dress
Love Moschino,black,Dress by Love Moschino    The scroll is overCrew neckShort sleevesLogo printSlim fitClose-fitting cut ,126,Love Moschino mesh panel logo dress in black
New Girl Order,navy/orange,Dress by New Girl Order    Grunge vibes All-over tie-dye printCrew neckDrop shouldersLogo print to chestFitted trimsRelaxed fitSlouchy cut,17.5,New Girl Order tie-dye logo sweater dress
ASOS Curve,black,Plus-size dress by ASOS DESIGN          Worn and shot by one of our models at home     Crew neckLong sleevesSide splitsSlim fitClose-fitting cut #AtHomeWithASOS ,33.75,ASOS DESIGN Curve crew neck ribbed midi dress
Parisian,cream,Dress by Parisian    The scroll is overPlain designBoat neckDrop shouldersRibbed cuffsDipped hemRelaxed fitSlouchy cut,29,Parisian slouchy dipped hem sweater dress in cream
Rokoko,lilac,Mini dress by Rokoko    For the rotationCrew neckShort sleevesAngel-wings print to chestBody-Conscious fit Figure-hugging cut ,9.6,Rokoko short sleeved body-conscious mini dress with angel print
Missguided,sage,Midi dress by Missguided     Serious add-to-bag potential Ribbed designV-neckLong sleevesSlim fitClose-fitting cut,36,Missguided ribbed midi dress in sage
Monki,black,Dress by Monki     Crack the dress codeRound neckThree-quarter-length sleevesElasticated cuffsLow backRegular fitTrue to size,14,Monki Wilma full sleeve velvet mini dress in black
Noisy May,black,Dress by Noisy May    Crack the dress codeCrew neckLong sleevesSlim fitClose-fitting cut ,23.1,Noisy May mini dress with mesh overlay in black
TFNC,pink,Dress by TFNCDestination: dancefloorV-neckWrap frontTie waist Zip-back fastening Regular fit,60,TFNC Bridesmaid wrap front maxi dress in pink
TFNC Petite,pink,Petite dress by TFNCDestination: dancefloorMultiway design Straps can be tied in different ways to create a variety of looks Zip-back fastening Regular fit ,60,TFNC Petite Bridesmaid multiway maxi dress in pink
In The Style Plus,black,Plus-size dress by In The Style          Collaboration with Jacqueline Jossa    Sweetheart neck    Long sleeves    Elasticated cuffsButton-through frontSmock styleRelaxed fitLoose cut,18.45,In The Style Plus X Jac Jossa mini smock dress in black
Puma,fuchsia purple,Dress by PUMA    Your new favorite dressContrast ribbed topCrew neckSleeveless stylePUMA logo chest printCut-out sidesZip-back fastening Body-Conscious fitFigure-hugging cut,41,Puma classic cut out dress in purple
Collusion,grey,"Dress by COLLUSION    Part of our responsible editDrawstring hoodOverhead designChest, sleeve and back printRibbed cuffsOversized fitRelaxed and roomy",15.75,COLLUSION back print hoodie dress in charcoal
Miss Selfridge,black,Dress by Miss SelfridgeShot by one of our stylists at home Round neckPuff sleevesBody-Conscious fit Figure-hugging cut #AtHomeWithASOS ,10.15,Miss Selfridge round neck mini dress in black
Missguided,multi,"Mini dress by Missguided    Cute dressFloral designSquare neckLong sleevesRuffle cuffsShirred, stretch bustRegular fitTrue to size",18.9,Missguided long sleeve milkmaid mini dress with shirred detail in floral print
ASOS DESIGN,burgundy,Mini dress by ASOS DESIGN    Cute dressAll-over polka-dot print High neck Puff sleevesRuffle trims Button-keyhole backRegular fit True to size ,16.1,ASOS DESIGN textured mini dress with ruffle neck and puff sleeves in pink with black polka dot
TFNC,light gray,Dress by TFNC    Destination: dancefloor V-neckSleeveless styleWrap front Tie waist Zip-back fastening Regular fit ,60,TFNC Bridesmaid top wrap chiffon dress in light gray
ASOS DESIGN,rose,Mini dress by ASOS DESIGN    Talk about a wardrobe staple Plain designRound neckDrop shouldersRibbed trimsOversized fitRelaxed and roomy,19.5,ASOS DESIGN oversized sweat dress in rose
TFNC,light gray,Dress by TFNC    Cue the group photoshootHigh neck Pleated bodiceCut-out front Side split Zip-back fastening Regular fit ,60,TFNC Bridesmaid multiway maxi dress in light gray
New Look,black,Dress by New Look    Crack the dress code    Plain design Round neck    Long sleeves    Tie waistFront splitSlim fitClose-fitting cut ,24.2,New Look tie waist knitted dress in black
Y.A.S,multi,Midi dress by Y.A.S     Coming soon to your Saved ItemsDitsy printCrew neckFluted sleevesTiered hemZip-back fastening    Regular fit True to size,74,Y.A.S. Jamila fluted sleeve midi dress in small print
ASOS Maternity,multi,Maternity dress by ASOS DESIGN    Crack the dress codeRuched designAll-over spot print Sweetheart neck Long sleevesOpen back Tie fastening     Body-Conscious fit     Designed to fit you from bump to baby,12.1,ASOS DESIGN Maternity sweetheart long sleeve ruched midi dress in spot mix print
ASOS DESIGN,leopard print,"Dress by ASOS DESIGN    Crack the dress codeAnimal printDrop shouldersSmock styleRelaxed fitLoose, drapey cut ",16.8,ASOS DESIGN plisse smock mini dress in leopard print
Fashion Union Plus,black meadow floral,Plus-size dress by Fashion Union          Cute dressDitsy floral printRound neckShort sleevesTie-keyhole backRuffle trimRegular fitTrue to size,12.75,Fashion Union Plus mini dress with ruffle sleeve in ditsy floral
Missguided Tall,black,Tall dress by MissguidedCheck you out V-neckVolume sleevesElasticated cuffsButton-through front Soft pleats to waist Ruffle hemRegular fitTrue to size,22,Missguided Tall smock dress with button front in black check
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Crack the dress codeNotch collarPlunge neckButton placketBlouson sleevesSlim fitClose-fitting cut ,15.75,ASOS DESIGN mini long sleeve blazer dress with buttons in black
New Look Petite,black pattern,Petite dress by New Look         Cute dressContrast collarBlouson sleevesElasticated cuffsZip-back fasteningRegular fitTrue to size,35.2,New Look Petite collared dress in black
TFNC,pink,Dress by TFNCDestination: dancefloorMultiway design Straps can be tied in different ways to create a variety of looks Zip-back fastening Regular fit ,60,TFNC Bridesmaid multiway maxi dress in pink
Flounce London Plus,black,Plus-size dress by Flounce London    Coming soon to your Saved ItemsPlain designScoop neckLong sleevesSlim fitClose-fitting cut,12,Flounce Plus scoop neck ribbed mini dress in black
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Your new favorite dressFrill neck Volume sleevesFitted cuffsCrochet lace insertRuffle panel to yokeButton-keyhole back Trapeze style Regular fitTrue to size,39.9,ASOS DESIGN broderie trapeze mini dress with lace insert in black
AX Paris,taupe,Dress by AX Paris    Doing it for the glamPlunge neck Long sleevesWrap front Ruched panels Zip-back fastening Body-Conscious fit Figure-hugging cut ,18.15,AX Paris plunge front ruched detail body-conscious dress with oversized belt detail
sister jane,black,Dress by sister jane    Crack the dress codeAll-over patternCollarless designButton detailChest pocketsSide pocketsSlim fitClose-fitting cut ,96.95,Dream Sister Jane tweed mini dress with embellished buttons in mono
Native Youth,orange,Dress by Native Youth    Your new favorite dressStripe design Roll-neckDrop shouldersRibbed cuffsSide splitsRelaxed fitSlouchy cut,48,Native Youth color blocked stripe midi dress
Little Mistress,navy,"Maxi dress by Little Mistress    All dressed upBeaded embellishmentRound neckSleeveless stylePadded bustFitted waistShirred, stretch backRegular fitTrue to size",34.1,Little Mistress wrap detail maxi dress with embellished yoke in navy
ASOS Tall,oatmeal,"Tall dress by ASOS DESIGN    The baggier, the better Crew neck Drop shouldersDrawstring hem Ribbed trims Oversized fit Relaxed and roomy",28.8,ASOS DESIGN Tall oversized mini dress with drawstring hem in oatmeal
Collusion,multi,Plus-size dress by COLLUSION          Go big before you go homeAll-over printSquare neckPuff sleevesElasticated cuffsRegular fitTrue to size,20,COLLUSION Plus Exclusive printed taffeta smock midi dress
Missguided,black,Dress by Missguided    Act casual Crew neck Drop shouldersRibbed cuffsCargo pocketsAdjustable toggle waist Regular fitTrue to size,38.4,Missguided sweater dress with drawstring in black
Parisian,white/black,Dress by Parisian    Still not over zebra print Ruched design Elasticated square neck Adjustable straps Zip-back fastening Body-Conscious fit ,21.75,Parisian cami strap mini dress in zebra print
JDY,mono polka dot ,Dress by JDY    Cute dressPolka-dot design Round neck Long sleevesSoft pleats to waist Regular fitTrue to size,14,JDY jersey dress in black with white polka dots
Closet London,black,Dress by Closet    Très chicV-neckWrap frontAsymmetric  button placketSleeveless styleZip-back fasteningSlim fitClose-fitting cut ,27.5,Closet wrap pinafore dress in black
ASOS Petite,taupe,Petite dress by ASOS DESIGNVarsity vibes Crew neck Balloon sleeves Textured applique 'H'Oversized fitRelaxed and roomy ,18,ASOS DESIGN Petite oversized balloon sleeve sweatshirt mini dress with letter graphic in taupe and black
ASOS Tall,navy,"Tall dress by ASOS DESIGN    Cute, meet comfy V-neckShort sleevesButton-through front Side pockets Smock style Relaxed fit Loose cut ",22.4,ASOS DESIGN Tall button through mini smock dress in navy
En Crème,pink floral,Dress by En Creme    The scroll is over     Floral printTie-keyhole front Tassel detailsBlouson sleevesElasticated cuffsRegular fitTrue to size,19.95,En Crème swing dress in vintage floral and neck cut out detail
Wednesday's Girl Curve,purple floral,Plus-size dress by Wednesday's Girl          Our kind of flowers All-over ditsy print Crew neck Long sleevesEmpire waist Regular fit True to size Exclusive to ASOS,11.2,Wednesday's Girl Curve long sleeve mini dress in vintage floral
Missguided Petite,white,Petite dress by Missguided         Crack the dress codeDalmation printRound neckLong sleevesGathered bustButton-keyhole backRegular fitTrue to size,19.9,Missguided Petite midi dress in dalmation print
Miss Selfridge Petite,black,"Petite dress by Miss Selfridge         Crack the dress codeAll-over heart print Square neck Elasticated shouldersPuff sleevesSide splitShirred, stretch backRegular fit True to size ",48,Miss Selfridge Petite midi dress with square neck in mono heart print
French Connection,teagown/utility blue,Dress by French Connection    Your new favorite dressAll-over animal print V-neck Three-quarter length sleeves    Tie waistRegular fitTrue to size,21.55,French Connection Animal Meadow jersey dress in pink
River Island,black,Mini dress by River Island    The new it-dress    V-neck    Short sleevesFrill details    Button front    Zip-side fastening Regular fitTrue to size,31.5,River Island jacquard ruffle mini tea dress in black
Femme Luxe,mauve,Mini dress by Femme LuxeDo get caught wearing it twice    Square neckCami straps     Ruched design Body-Conscious fitFigure-hugging cut,12,Femme Luxe ruched detail cami strap midi dress in mauve
Femme Luxe,black,Mini dress by Femme Luxe    Cue the party playlistRound neckLong sleevesContrast stripe to sidesSlim fitClose-fitting cut,12,Femme Luxe knitted sweater dress with contrast stripe detail in black
Missguided,multi,Mini dress by Missguided    Laid-back looksColor-block designDrawstring waistDrop shouldersLogo embroidery to chestPouch pocketRibbed trimsOversized fitRelaxed and roomy,31.2,Missguided oversized hoodie dress in colorblock
ASOS DESIGN,oatmeal,Mini dress by ASOS DESIGN    Coming soon to your Saved Items    High neck    Structured shoulders Volume sleeves    Ribbed cuffsRelaxed fitSlouchy cut,14.4,ASOS DESIGN mini dress with structured shoulder in oatmeal
New Look,camel,Dress by New Look    Cute dressPlain designV-neckLong sleevesButton placketTie waistSlim fitClose-fitting cut,15.4,New Look soft ribbed tie belt dress in camel
Lola May,wine,Dress by Lola May    Cute dressPlunge neckBlouson sleevesElasticated cuffsFrill hemSmock styleRelaxed fitLoose cut ,38,Lola May smock dress in shimmer wine
Stradivarius,green,Dress by Stradivarius    Coming soon to your Saved ItemsCheck designV-neckVolume sleevesElasticated cuffsRegular fitTrue to size,15,Stradivarius V-neck smock dress in green check
Y.A.S,yellow,Dress by Y.A.SMeet your new outfitEmbroidered design     V-neckFrill sleeves     Ruffle hem Regular fit True to size,53.15,Y.A.S mini smock dress with frill sleeve detail in black spot
Vero Moda,black,Mini dress by Vero Moda    Part of our responsible editHigh neckVolume sleevesButton cuffsPeplum hemRegular fitTrue to size,22.4,Vero Moda sweat mini dress with peplum hem and volume sleeves in black
ASOS Petite,black/white check,Petite dress by ASOS DESIGN         Cute dressPlaid design Round neckBlouson sleeves Button cuffs Peplum hem Keyhole back Smock styleRelaxed fitLoose cut ,25.5,ASOS DESIGN Petite plaid midi smock dress with peplum hem
Missguided,slate blue,Dress by Missguided    Your new favorite dressSpread collarPartial button placketLong sleevesButton cuffsSmock styleRegular fitTrue to size,16.8,Missguided cord long sleeve shirt smock dress in slate blue
Collusion,multi,Dress by COLLUSION    Part of our responsible editTie-dye designFixed hoodDrop shouldersContrast logo print to backRibbed trimsOversized fitRelaxed and roomy,33.6,COLLUSION tie dye hoodie dress with contrast logo
ASOS Curve,leopard print,Plus-size dress by ASOS DESIGN          Still not over leopard print Crew neckBlouson sleevesElasticated cuffsSmock style Button-keyhole backRelaxed fit Loose cut ,20.9,ASOS DESIGN Curve plisse smock mini dress in leopard print
Y.A.S,pink,Mini dress by Y.A.S    Cute dress    Jacquard spot pattern    High neckPartial button placketThree-quarter-length sleevesTiered skirtRuffle trimSmock styleRelaxed fitLoose cut,81,Y.A.S smock dress with ruffle detail in pink
NaaNaa,stone,Dress by NaaNaa    Sleeves are overratedPlain designCrew neckSleeveless styleBelted waistRegular fitTrue to size,16,NaaNaa knitted belted midi sweater dress in stone
AsYou,black,Dress by AsYou    Doing it for the glam    Bandeau design    Thigh split    Zip-side fastening    Slim fit    Close-fitting cut ,12.1,ASYOU bandeau thigh split body-conscious in black
Object,bee print,Dress by Object    Crack the dress codeBee printSatin-style stripesRound neckLong sleevesButton cuffsButton-keyhole backRegular fitTrue to size,41.2,Object smock dress in bee print
Il Sarto,baby blue,Dress by Il Sarto     Act casualCrew neckLong sleevesLogo printRegular fitTrue to size,34,Il Sarto long sleeve t-shirt dress in baby blue
Sixth June,beige,Mini dress by Sixth June    Dressed to chillHigh branded neckDrop shouldersFunctional pocketRibbed trimsOversized fitRelaxed and roomy,21.6,Sixth June oversized high neck sweatshirt dress with logo detail
AsYou,mocha,"Mini dress by AsYou    Chill, but make it glam    Ribbed design    Fixed hood    Cut-out shoulders and back    Long sleeves    Slim fit    Close-fitting cut    Exclusive to ASOS",25.6,AsYou hooded mini dress in mocha
I Saw It First,chocolate,Midi dress by I Saw It First    Crack the dress codeRoll-neckLong sleevesBody-Conscious fit Figure-hugging cut ,28,I Saw It First ribbed turtle neck midi dress in chocolate
Lavish Alice,snake print,Dress by Lavish Alice    Going somewhere?Asymmetric neckSnake-style printSingle long sleeveZip back fasteningSlim fitA close-fitting cut,24.8,Lavish Alice velvet one shoulder mini dress in snake print
Y.A.S,blue check,Dress by Y.A.S    Worn and shot by one of our models at homeChecked designHigh neckLong sleevesElasticated waistRegular fitTrue to size#AtHomeWithASOS,62,Y.A.S. Juta mesh high neck checkered dress in blue
Brave Soul Tall,black,Tall dress by Brave Soul    Act casualPlain designHigh neckLong sleevesGathered waistSmock styleRelaxed fitLoose cut ,20,Brave Soul Tall lizzie high neck smock dress in black
Daisy Street,black pink floral,Mini dress by Daisy Street    Crack the dress codeAll-over floral printV-neckBlouson sleeves    Elasticated cuffs    Wrap front    Tie waistRegular fitTrue to size,15.75,Daisy Street long sleeve mini wrap dress in vintage floral
ASOS Tall,oxblood,Tall dress by ASOS DESIGN    Crack the dress codeRuffle collarPlunge neckTie detailsPuff sleeves    Button cuffs     Tiered skirtRegular fitTrue to size,24,ASOS DESIGN Tall cotton poplin tie front mini smock dress with pin tucks in oxblood
ASOS DESIGN,leopard print,Dress by ASOS DESIGN    Crack the dress codeLeopard printQuilted designSpread collar    Long sleeves    Chest pocket    Button-through frontOversized fitRelaxed and roomy ,25.2,ASOS DESIGN quilted mini shirt dress in oversized leopard print
John Zack,multi,Mini dress by John Zack    Serious add-to-bag potential     Leopard printPlunge neckRing detailPadded shouldersLong sleeves    Zip-back fasteningSlim fitClose-fitting cut,17.1,John Zack ring detail mini skater dress in chocolate leopard print
Only,floral print,Mini dress by Only    The scroll is overFloral print     High neck    Long sleeves    Elasticated cuffs Regular fitTrue to size,20.25,Only high neck mini dress in floral print
ASOS DESIGN,black,Dress by ASOS DESIGN    You choose the occasionPlunge neckSleeveless styleSatin tie strapsZip-back fasteningBody-Conscious fitFigure-hugging cut,37.5,ASOS DESIGN ruched lace mini dress with satin bunny tie in black
TFNC Tall,light gray,T-shirt dress by TFNC    Destination: dancefloorV-neckSleeveless styleWrap frontTie waist Zip-back fastening Regular fit,56,TFNC Tall Bridesmaid top wrap chiffon dress in light gray
Flounce London,wine,Dress by Flounce London    You choose the occasionV-neckLong sleevesWrap frontRuched detailBody-Conscious fitFigure-hugging cut,21,Flounce London velvet wrap dress with ruched side in wine
ASOS DESIGN,washed black,Dress by ASOS DESIGN    Part of our responsible editHigh neck Volume sleevesFrill cuffsSide pocketsButton-keyhole backZip-back fasteningRegular fitTrue to size,20,ASOS DESIGN denim pie crust dress in washed black
TFNC,navy,Dress by TFNC    Destination: dancefloorHigh neckMesh insertLace trimZip-back fasteningRegular fit,45,TFNC Bridesmaid mini skater dress with lace insert in navy
ASOS Tall,red,Tall dress by ASOS DESIGN    This dress deserves a night out Plunge neck Long sleevesWrap front Tie-side fastening Regular fit True to size ,20.2,ASOS DESIGN Tall wrap mini dress in high shine satin
ASOS DESIGN,grey,Mini dress by ASOS DESIGN    Laid-back looksRound neckPadded shoulders'Amour' print on frontRibbed trimsRelaxed fitSlouchy cut,13.05,ASOS DESIGN padded shoulder mini sweater dress in gray with amour logo
New Look Maternity,black,Maternity dress by New Look    Crack the dress codeRoll-neckLong sleevesSide splitsRegular fit    Designed to fit you from bump to baby,19.8,New Look Maternity rollneck dress in black
Missguided Tall,black,Tall dress by Missguided    Worn and shot by one of our models at homeAll-over polka-dot printV-neckShort sleevesWrap front with tie sideRuffle hemZip-back fasteningRegular fitTrue to size#AtHomeWithASOS,36,Missguided Tall wrap dress with ruffle hem in black polka
ASOS DESIGN,purple spot,Mini dress by ASOS DESIGN    Crack the dress codePolka-dot design Square neck Puff sleevesDouble-breasted style Button detailsAdjustable tie waistKick splitRegular fitTrue to size,15.6,ASOS DESIGN mini square neck dress padded shoulder with button detail and belt in purple spot
ASOS DESIGN,khaki spot,Mini dress by ASOS DESIGN    Your new favorite dress    Spot print     Round neck    Long sleeves    Tiered styleButton-keyhole back    Regular fitTrue to size,11.2,ASOS DESIGN long sleeve tiered smock mini dress in khaki polkadot
Closet London,multi,Mini dress by Closet    Crack the dress codeZig-zag design    Square neckShort sleeves    Zip-back fastening Regular fitTrue to size,30.6,Closet London square neck textured mini dress in zig zag
QED London,purple multi,"Dress by QED London    Brunch, anyone?All-over floral printHigh neckLong sleevesButton cuffsButton-up frontTiered skirtRegular fitTrue to size",48,QED London floral print midaxi shirt dress in multi
Fashionkilla Plus,stone,Plus-size dress by Fashionkilla          It's a whole moodOff-shoulder styleLong sleevesRuched frontBody-Conscious fitFigure-hugging cut,15.75,Fashionkilla Plus knit ruched detail off-the-shoulder dress in stone
ASOS DESIGN,oatmeal,Dress by ASOS DESIGN    Crack the dress codeCrew neckDrop shouldersFitted cuffsDrawstring hemOversized fitRelaxed and roomy ,16.8,ASOS DESIGN oversized mini dress with drawstring hem in oatmeal
Girl In Mind,red,Midi dress by Girl In Mind     Ring light at the readyV-neck Padded shouldersLong sleevesWrap front Gold-tone belt detail Zip-back fastening Kick split to reverseSlim fitClose-fitting cut,19.3,Girl In Mind wrap detail midi pencil dress with gold belt detail in red
ASOS Tall,khaki,Tall dress by ASOS DESIGN    Your new go-toRound neckLong sleevesTiered skirtSmock styleButton-keyhole backRegular fitTrue to size,18.85,ASOS DESIGN Tall long sleeve tiered smock mini dress in khaki
Flounce London Plus,black,Plus-size dress by Flounce London    Coming soon to your Saved ItemsRound neckButton detail Long sleevesSlim fitClose-fitting cut,16,Flounce Plus button trim ribbed midi dress in black
ASOS Tall,black,Tall dress by ASOS DESIGN    Part of our responsible editSweetheart neckLong sleevesFlared skirtZip-back fasteningRegular fitTrue to size,16.15,ASOS DESIGN Tall babydoll denim dress in black
Influence,white,"Dress by Influence    Summer, styledTiered designSquare neckPuff sleevesOpen backTie fasteningsRegular fitTrue to size",32,Influence beach dress with open back in white
Pieces,camel,Dress by PIECES    It's roll-neck season Plain design Roll-neck Drop shouldersRelaxed fit Slouchy cut ,12,Pieces sweater dress with high neck in camel
ASOS Curve,red leopard,Plus-size dress by ASOS DESIGN          This dress deserves a night outAll-over animal printCrew neckPadded shouldersShort sleevesRegular fitTrue to size,18,ASOS DESIGN Curve padded shoulder short sleeve t-shirt mini dress in red velvet leopard print
New Look,black,Midi dress by New Look     Crack the dress codeCrew neck Long sleevesTie details on bustSlim fit Close-fitting cut,11.9,New Look tie front ribbed midi dress in black
ASOS DESIGN,black floral print,Mini dress by ASOS DESIGN    Cute dressFloral pintV-neck with frill trimLong sleevesWrap frontTie sidePleated skirtRegular fitTrue to size,13.75,ASOS DESIGN long sleeve pleated mini wrap dress in black floral print
Collusion,purple,"Dress by COLLUSION    Comfy, meet coolFixed hoodOverhead designDrop shouldersLogo print to chestContrast panelPouch pocketRibbed trimsRelaxed fitSlouchy cutExclusive to ASOS",18,COLLUSION washed sweatshirt dress with inset panel and hood in purple
Maya Maternity,soft lilac,Maternity dress by Maya Maternity    Cue the cute-as group photoshootFully linedSequin-embellished topHalterneck designZip back with hook-and-eye fasteningRegular fitTrue to sizeDesigned to fit you from bump to baby,40.65,Maya Maternity Bridesmaid halter neck midi tulle dress with tonal delicate sequins in soft lilac
QED London,multi,Dress by QED London    Crack the dress codeAll-over houndstooth patternCrew neckPuff sleevesRibbed trimsSlim fitClose-fitting cut ,40,QED London sweater dress in houndstooth
Mango,green,Dress by Mango    Crack the dress codeFloral printV-neckLong sleevesElasticated cuffsRegular fitTrue to size,27,Mango tiered mini smock dress in black floral print
Night Addict,black,Dress by Night Addict    Act casual     Crew neck    Drop shouldersSlogan print to chest    Oversized fitRelaxed and roomy,16,Night Addict oversized slogan t-shirt dress
ASOS Tall,navy,Tall dress by ASOS DESIGN    For that thing you have to go toPartial liningRound neckLong sleevesZip-back fasteningRegular fitA standard cut for a classic shape,42.8,ASOS DESIGN Tall Premium lace midi skater dress in navy
In Wear,black,"Dress by InWear    All of the dressing up, none of the frillsAll-over check patternRound neckPuff sleevesStretch cuffsTiered hemRelaxed fitLoose cut",77.25,In Wear Pakwa Dress
ASOS DESIGN,floral print,Dress by ASOS DESIGN    Cute dressAll-over floral printRound neckPadded shouldersLong sleevesOpen back with tieSlim fitClose-fitting cut ,18.4,ASOS DESIGN padded shoulder long sleeve mini dress with tie back in lilac and blue floral
JDY,brown check,Dress by JDY    Act casualCheck design Spread collarButton placketDrop shouldersButton cuffsCurved hem Oversized fitRelaxed and roomy,33.75,JDY oversized shirt dress in brown plaid
Brave Soul Tall,gray heather,Tall dress by Brave Soul    Cute and comfyPlain designHigh neckLong sleevesSmock styleRegular fitTrue to size,10,Brave Soul Tall lizzie high neck smock dress in gray
Maya,lemon,Dress by Maya    Takes you from the ceremony to the dancefloorBoat neck Sheer mesh topSequin embellished main Layered tulle skirt Button keyhole back Regular fitJust select your usual size,52.75,Maya Bridesmaid mesh top delicate sequin midi dress in lemon
QED London,black,Dress by QED London    Cute dressRound neckLong sleevesFrill trimsRegular fitTrue to size,20,QED London ruffle detail sweater dress in black
ASOS DESIGN,snake print,Dress by ASOS DESIGN    Crack the dress codeMock-snake designV-neckPuff sleevesElasticated cuffsSmock styleRegular fitTrue to size,22.1,ASOS DESIGN wrap front midi smock dress with short puff sleeve in snake print
Miss Selfridge Petite,black,Petite dress by Miss SelfridgeAll-over floral print Crew neck Blouson sleeves Smock style Regular fit ,26.4,Miss Selfridge Petite floral print smock dress in black
Queen Bee,pink,Dress by Queen Bee    You choose the occasionLeopard designRound neckSleeveless styleButton-keyhole backDrop hemRegular fitTrue to size,19.3,Queen Bee drop hem maternity midi dress in pink leopard
Collusion,tan,Dress by COLLUSIONShot by one of our stylists at home Spread collarLong sleevesButton placketChest pocketsRegular fitTrue to size#AtHomeWithASOS,19,COLLUSION denim corset dress in tan
Missguided Petite,white,Petite dress by Missguided         Crack the dress codeAll-over leopard printHigh neckFrill shouldersLong sleevesTiered skirtSmock styleRelaxed fitSlouchy cutExclusive to ASOS,32,Missguided Petite smock dress with frill shoulder detail in white leopard
New Look,camel,"Midi dress by New Look     Simple, meet stylishRibbed designSweetheart neckLong sleevesRegular fitTrue to size",18.8,New Look sweetheart neckline dress in camel
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Crack the dress codePlain design     Spread collarV-neck     Long sleeves    Elasticated cuffs     Wrap frontRelaxed fitSlouchy cut,12,ASOS DESIGN mini wrap shirt dress in black
